"Event","Rank","Time","Wind","Name","Nationality","Birthday","Result","City","Date","lon","lat","Altitude","Age"
"200m","512",20.06,1.6,"Joe DeLoach","USA",1967-06-05,"1s2","Seoul",1988-09-28,126.9779692,37.566535,FALSE,21.33
"200m","512",20.06,-0.6,"Michael Johnson","USA",1967-09-13,"1","Barcelona",1990-07-16,-77.0323459,38.9120933,FALSE,22.85
"200m","512",20.06,-3.1,"Michael Johnson","USA",1967-09-13,"1s2","Tokyo",1991-08-27,-94.7054123,37.4327307,FALSE,23.97
"200m","512",20.06,1.1,"Michael Johnson","USA",1967-09-13,"2","Lausanne",1993-07-07,6.6322734,46.5196535,FALSE,25.83
"200m","512",20.06,0.3,"Michael Johnson","USA",1967-09-13,"1","Tokyo",1995-09-15,-94.7054123,37.4327307,FALSE,28.02
"200m","512",20.06,0.3,"Ramon Clay","USA",1975-06-29,"1","Ad-Dawhah",1998-05-07,51.5310398,25.2854473,FALSE,22.87
"200m","512",20.06,0.6,"Francis Obikwelu","NGR",1978-11-22,"1","Johannesburg",1999-09-18,28.0473051,-26.2041028,TRUE,20.84
"200m","512",20.06,1.4,"Frank Fredericks","NAM",1967-10-02,"1","Manchester",2002-07-29,-2.2426305,53.4807593,FALSE,34.85
"200m","512",20.06,0.7,"Stéphane Buckland","MRI",1977-01-13,"1q3","Saint-Denis",2003-08-27,2.357443,48.936181,FALSE,26.64
"200m","512",20.06,0.7,"Justin Gatlin","USA",1982-02-10,"1h1","Sacramento",2004-07-16,-121.4943996,38.5815719,FALSE,22.44
"200m","512",20.06,0.7,"Asafa Powell","JAM",1982-11-23,"1","Monaco",2004-09-19,7.4246158,43.7384176,FALSE,21.84
"200m","512",20.06,-0.9,"Tyson Gay","USA",1982-08-09,"2","Carson",2005-06-26,-118.281693,33.8316745,FALSE,22.9
"200m","512",20.06,1.2,"Wallace Spearmon","USA",1984-12-24,"1","Carson",2006-05-21,-118.281693,33.8316745,FALSE,21.42
"200m","512",20.06,-0.1,"Usain Bolt","JAM",1986-08-21,"1","London",2007-08-03,-0.1277583,51.5073509,FALSE,20.96
"200m","512",20.06,-0.4,"Marvin Anderson","JAM",1982-05-12,"2s2","Osaka",2007-08-29,135.5022535,34.6937249,FALSE,25.32
"200m","512",20.06,-0.8,"Rodney Martin","USA",1982-12-22,"4","Osaka",2007-08-30,135.5022535,34.6937249,FALSE,24.7
"200m","512",20.06,0.5,"Walter Dix","USA",1986-01-31,"1","Ad-Dawhah",2011-05-07,51.5310398,25.2854473,FALSE,25.28
"200m","512",20.06,0.9,"Nickel Ashmeade","JAM",1990-04-07,"2","Kingston",2013-06-23,-117.9269481,33.7085616,FALSE,23.23
"200m","512",20.06,-0.2,"Alonso Edward","PAN",1989-12-08,"3","New York City",2014-06-14,-74.0059728,40.7127753,FALSE,24.53
"200m","512",20.06,1.7,"Femi Ogunode","QAT",1991-01-31,"1","Sofia",2014-06-28,23.3218675,42.6977082,FALSE,23.42
"200m","512",20.06,1.2,"Nickel Ashmeade","JAM",1990-04-07,"2","Lausanne",2014-07-03,6.6322734,46.5196535,FALSE,24.25
"200m","512",20.06,0,"Anaso Jobodwana","RSA",1992-07-30,"1","Georgetown",2015-05-16,-77.0722585,38.9076089,FALSE,22.81
"200m","512",20.06,1.9,"Alonso Edward","PAN",1989-12-08,"2","Ad-Dawhah",2016-05-06,51.5310398,25.2854473,FALSE,26.43
"200m","512",20.06,0.8,"Christopher Belcher","USA",1994-01-29,"1h5","Lexington",2017-05-26,-84.5037164,38.0405837,FALSE,23.34
"200m","512",20.06,-1.4,"Michael Norman","USA",1997-12-03,"1","Tempe",2018-04-07,-111.9400054,33.4255104,FALSE,20.36
"200m","512",20.06,1,"Aaron Brown","CAN",1992-05-27,"1","Stockholm",2019-05-30,18.0685808,59.3293235,FALSE,27.02
"200m","542",20.07,NA,"James Mallard","USA",1957-11-29,"1","Tuscaloosa",1979-04-20,-87.5691735,33.2098407,FALSE,21.4
"200m","542",20.07,NA,"Pietro Mennea","ITA",1952-06-28,"1","Rovereto",1980-09-13,11.0401399,45.89096,FALSE,28.23
"200m","542",20.07,0.3,"Albert Robinson","USA",1964-11-28,"1","Indianapolis",1984-05-05,-86.158068,39.768403,FALSE,19.45
"200m","542",20.07,1.2,"Pietro Mennea","ITA",1952-06-28,"1","Brindisi",1984-10-03,17.9417616,40.6327278,FALSE,32.29
"200m","542",20.07,1.5,"Lorenzo Daniel","USA",1966-03-23,"1","Starkville",1985-05-18,-88.8183872,33.4503998,FALSE,19.17
"200m","542",20.07,0.2,"Michael Johnson","USA",1967-09-13,"2","Austin",1988-05-17,-97.7430608,30.267153,FALSE,20.69
"200m","542",20.07,-1.1,"Michael Johnson","USA",1967-09-13,"1","Zürich",1990-08-15,8.541694,47.3768866,FALSE,22.94
"200m","542",20.07,0.8,"Jon Drummond","USA",1968-09-09,"1","Berlin",1997-08-26,13.404954,52.5200066,FALSE,28.98
"200m","542",20.07,1.9,"Michael Johnson","USA",1967-09-13,"1","Fort-de-France",1999-05-08,-61.0587804,14.6160647,FALSE,31.67
"200m","542",20.07,-0.3,"Frank Fredericks","NAM",1967-10-02,"1","Villeneuve d'Ascq",2002-06-16,3.1442651,50.6232523,FALSE,34.73
"200m","542",20.07,0.5,"Coby Miller","USA",1976-10-19,"1","Bruxelles",2002-08-30,4.3517103,50.8503396,FALSE,25.88
"200m","542",20.07,-0.3,"Tyson Gay","USA",1982-08-09,"1h2","Sacramento",2004-07-16,-121.4943996,38.5815719,FALSE,21.95
"200m","542",20.07,-0.8,"Bernard Williams","USA",1978-01-19,"1q3","Sacramento",2004-07-17,-121.4943996,38.5815719,FALSE,26.51
"200m","542",20.07,0.6,"Wallace Spearmon","USA",1984-12-24,"1","New York City",2008-05-31,-74.0059728,40.7127753,FALSE,23.45
"200m","542",20.07,-0.5,"LaShawn Merritt","USA",1986-06-27,"1","Carson",2009-05-16,-118.281693,33.8316745,FALSE,22.9
"200m","542",20.07,0,"Churandy Martina","NED",1984-07-03,"2","Monaco",2012-07-20,7.4246158,43.7384176,FALSE,28.07
"200m","542",20.07,1.6,"Nickel Ashmeade","JAM",1990-04-07,"1s1","Kingston",2013-06-22,-117.9269481,33.7085616,FALSE,23.22
"200m","542",20.07,0.2,"Christophe Lemaitre","FRA",1990-06-11,"3","Saint-Denis",2013-07-06,2.357443,48.936181,FALSE,23.08
"200m","542",20.07,0.4,"Jason Young","JAM",1991-03-21,"2","Budapest",2013-07-10,19.040235,47.497912,FALSE,22.32
"200m","542",20.07,1.4,"Alonso Edward","PAN",1989-12-08,"1r1","Clermont",2014-04-26,-81.7728543,28.5494447,FALSE,24.4
"200m","542",20.07,0.2,"Nickel Ashmeade","JAM",1990-04-07,"1rA","Clermont",2016-04-30,-81.7728543,28.5494447,FALSE,26.08
"200m","542",20.07,-0.3,"Adam Gemili","GBR",1993-10-06,"3","London",2016-07-22,-0.1277583,51.5073509,FALSE,22.81
"200m","542",20.07,-0.2,"Alonso Edward","PAN",1989-12-08,"1s3","Rio de Janeiro",2016-08-17,-43.1728965,-22.9068467,FALSE,26.71
"200m","542",20.07,0.8,"Christian Coleman","USA",1996-03-06,"2h5","Lexington",2017-05-26,-84.5037164,38.0405837,FALSE,21.24
"200m","542",20.07,1.9,"Anaso Jobodwana","RSA",1992-07-30,"2","Paarl",2018-03-22,18.9621091,-33.7342304,FALSE,25.66
"200m","542",20.07,2,"Aaron Brown","CAN",1992-05-27,"3","Eugene",2018-05-26,-123.0867536,44.0520691,FALSE,26.01
"200m","542",20.07,0.9,"Aaron Brown","CAN",1992-05-27,"2","Stockholm",2018-06-10,18.0685808,59.3293235,FALSE,26.05
"200m","542",20.07,0,"Aaron Brown","CAN",1992-05-27,"1","Shanghai",2019-05-18,121.473701,31.230416,FALSE,26.99
"200m","570",20.08,0.1,"Silvio Leonard","CUB",1955-09-20,"1","Guadalajara",1977-08-12,-103.3496092,20.6596988,TRUE,21.91
"200m","570",20.08,0.9,"LaMonte King","USA",1959-12-18,"1","Walnut",1980-06-15,-95.0780294,37.6014373,FALSE,20.51
"200m","570",20.08,1.6,"Dwayne Evans","USA",1958-10-13,"1","Albuquerque",1987-06-13,-106.650422,35.0843859,TRUE,28.68
"200m","570",20.08,0.2,"Calvin Smith","USA",1961-01-08,"2","Zürich",1988-08-17,8.541694,47.3768866,FALSE,27.62
"200m","570",20.08,1.5,"Robson Caetano da Silva","BRA",1964-09-04,"1","London",1989-07-14,-0.1277583,51.5073509,FALSE,24.87
"200m","570",20.08,0.3,"Danny Everett","USA",1966-11-01,"2","Norwalk",1990-06-16,-73.4081575,41.117744,FALSE,23.64
"200m","570",20.08,0.2,"Frank Fredericks","NAM",1967-10-02,"1","Roma",1991-07-17,-95.9036356,36.0766378,FALSE,23.81
"200m","570",20.08,-1.1,"Michael Johnson","USA",1967-09-13,"1","Zürich",1991-08-07,8.541694,47.3768866,FALSE,23.92
"200m","570",20.08,0.8,"Frank Fredericks","NAM",1967-10-02,"1","Sevilla",1992-06-06,-5.9844589,37.3890924,FALSE,24.7
"200m","570",20.08,1.2,"Michael Marsh","USA",1967-08-04,"1q4","Barcelona",1992-08-03,-77.0323459,38.9120933,FALSE,25.02
"200m","570",20.08,-1.7,"Frank Fredericks","NAM",1967-10-02,"1","Sestriere",1993-07-28,6.8790861,44.9578505,TRUE,25.84
"200m","570",20.08,0,"Ato Boldon","TTO",1973-12-30,"1","Tucson",1995-05-20,-110.9747108,32.2226066,FALSE,21.4
"200m","570",20.08,1.7,"Ramon Clay","USA",1975-06-29,"4","Atlanta",1996-06-23,-84.3879824,33.7489954,FALSE,21
"200m","570",20.08,-0.6,"Ramon Clay","USA",1975-06-29,"1","Roodepoort",1998-03-16,27.9014654,-26.1201355,TRUE,22.73
"200m","570",20.08,1.7,"Aaron Armstrong","USA",1977-10-14,"1","Norman",1999-04-10,-97.4394777,35.2225668,FALSE,21.5
"200m","570",20.08,-0.6,"Francis Obikwelu","NGR",1978-11-22,"1r2","Athínai",2000-06-28,23.7275388,37.9838096,FALSE,21.61
"200m","570",20.08,1,"Christian Malcolm","GBR",1979-06-03,"1s1","Edmonton",2001-08-08,-113.4909267,53.544389,FALSE,22.2
"200m","570",20.08,-0.5,"Shawn Crawford","USA",1978-01-14,"1","Pretoria",2003-04-04,28.2292712,-25.7478676,TRUE,25.24
"200m","570",20.08,-0.7,"Xavier Carter","USA",1985-12-08,"2","Sacramento",2005-06-11,-121.4943996,38.5815719,FALSE,19.52
"200m","570",20.08,1.5,"Usain Bolt","JAM",1986-08-21,"1","Fort-de-France",2006-04-29,-61.0587804,14.6160647,FALSE,19.7
"200m","570",20.08,-0.8,"Wallace Spearmon","USA",1984-12-24,"1","Stockholm",2006-07-25,18.0685808,59.3293235,FALSE,21.6
"200m","570",20.08,1.2,"Wallace Spearmon","USA",1984-12-24,"1","Sheffield",2007-07-15,-1.470085,53.381129,FALSE,22.57
"200m","570",20.08,1.2,"Usain Bolt","JAM",1986-08-21,"2","Sheffield",2007-07-15,-1.470085,53.381129,FALSE,20.91
"200m","570",20.08,0.9,"Tyson Gay","USA",1982-08-09,"1q3","Osaka",2007-08-28,135.5022535,34.6937249,FALSE,25.07
"200m","570",20.08,0.8,"LaShawn Merritt","USA",1986-06-27,"1","Ad-Dawhah",2008-05-09,51.5310398,25.2854473,FALSE,21.88
"200m","570",20.08,-1.7,"Tyson Gay","USA",1982-08-09,"1","Carson",2008-05-18,-118.281693,33.8316745,FALSE,25.79
"200m","570",20.08,0,"Usain Bolt","JAM",1986-08-21,"1s1","Berlin",2009-08-19,13.404954,52.5200066,FALSE,23.01
"200m","570",20.08,0.4,"Churandy Martina","AHO",1984-07-03,"2rA","Lausanne",2010-07-08,6.6322734,46.5196535,FALSE,26.03
"200m","570",20.08,0.1,"Warren Weir","JAM",1989-10-31,"3","New York City",2012-06-09,-74.0059728,40.7127753,FALSE,22.62
"200m","570",20.08,0,"Jason Young","JAM",1991-03-21,"3","Zürich",2012-08-30,8.541694,47.3768866,FALSE,21.46
"200m","570",20.08,0,"Adam Gemili","GBR",1993-10-06,"5","Moskva",2013-08-17,37.6172999,55.755826,FALSE,19.88
"200m","570",20.08,1.6,"Antoine Adams","SKN",1988-08-31,"1","Waterford",2014-06-22,-7.1100702,52.2593197,FALSE,25.82
"200m","570",20.08,-0.5,"Christophe Lemaitre","FRA",1990-06-11,"3","Monaco",2014-07-18,7.4246158,43.7384176,FALSE,24.12
"200m","570",20.08,-0.3,"Adam Gemili","GBR",1993-10-06,"3s2","Rio de Janeiro",2016-08-17,-43.1728965,-22.9068467,FALSE,22.88
"200m","570",20.08,0.6,"Ramil Guliyev","TUR",1990-05-29,"1","Baku",2017-05-18,49.8670924,40.4092617,FALSE,26.99
"200m","570",20.08,0.7,"Nethaneel Mitchell-Blake","GBR",1994-04-02,"1h7","London",2017-08-07,-0.1277583,51.5073509,FALSE,23.36
"200m","570",20.08,1.8,"Luxolo Adams","RSA",1996-08-01,"1","Pretoria",2018-03-17,28.2292712,-25.7478676,TRUE,21.64
"200m","570",20.08,0.8,"Kyle Greaux","TTO",1988-04-26,"1r1","Clermont",2018-05-12,-81.7728543,28.5494447,FALSE,30.06
"200m","570",20.08,-0.6,"Alex Quiñonez","ECU",1989-08-11,"3","Paris",2018-06-30,2.3522219,48.856614,FALSE,28.9
"200m","570",20.08,0.4,"Alex Quiñonez","ECU",1989-08-11,"3","Lausanne",2018-07-05,6.6322734,46.5196535,FALSE,28.92
"200m","570",20.08,1.9,"Bernardo Baloyes","COL",1994-01-06,"1","Bragança Paulista",2019-04-28,-46.5423239,-22.9531705,FALSE,25.32
"200m","570",20.08,0,"Divine Oduduru","NGR",1996-05-14,"1q2","Sacramento",2019-05-25,-121.4943996,38.5815719,FALSE,23.04
"200m","570",20.08,0.7,"Mario Burke","BAR",1997-03-18,"1h3","Austin",2019-06-05,-97.7430608,30.267153,FALSE,22.23
"200m","570",20.08,2,"Joseph Amoah","GHA",1997-01-12,"2h1","Austin",2019-06-05,-97.7430608,30.267153,FALSE,22.41
"200m","570",20.08,0.8,"Abdul Hakim Sani Brown","JPN",1999-03-06,"3","Austin",2019-06-07,-97.7430608,30.267153,FALSE,20.27
"200m","615",20.09,-1.3,"Carl Lewis","USA",1961-07-01,"1s1","Los Angeles",1984-06-21,-118.2436849,34.0522342,FALSE,22.99
"200m","615",20.09,0.8,"Pietro Mennea","ITA",1952-06-28,"1","Brindisi",1984-10-14,17.9417616,40.6327278,FALSE,32.32
"200m","615",20.09,-0.4,"Carl Lewis","USA",1961-07-01,"1","Berlin",1987-08-21,13.404954,52.5200066,FALSE,26.16
"200m","615",20.09,2,"Michael Johnson","USA",1967-09-13,"1r1","College Station",1988-04-16,-96.3344068,30.627977,FALSE,20.61
"200m","615",20.09,1.7,"Linford Christie","GBR",1960-04-02,"4","Seoul",1988-09-28,126.9779692,37.566535,FALSE,28.51
"200m","615",20.09,1.9,"Dennis Mitchell","USA",1966-02-20,"1","Provo",1989-06-02,-111.6585337,40.2338438,TRUE,23.3
"200m","615",20.09,1,"Floyd Heard","USA",1966-03-24,"1","Houston",1989-06-17,-95.3698028,29.7604267,FALSE,23.25
"200m","615",20.09,1,"Frank Fredericks","NAM",1967-10-02,"1","Germiston",1992-04-25,28.1707794,-26.2258734,TRUE,24.58
"200m","615",20.09,-0.2,"John Regis","GBR",1966-10-13,"2s1","Barcelona",1992-08-05,-77.0323459,38.9120933,FALSE,25.83
"200m","615",20.09,0.1,"Michael Johnson","USA",1967-09-13,"1","Tokyo",1994-09-15,-94.7054123,37.4327307,FALSE,27.02
"200m","615",20.09,-1.1,"Michael Johnson","USA",1967-09-13,"1","Rieti",1995-09-05,12.8567281,42.404509,FALSE,28
"200m","615",20.09,-1.6,"Ato Boldon","TTO",1973-12-30,"1","Westwood",1997-04-12,-118.4455164,34.0635016,FALSE,23.3
"200m","615",20.09,-0.2,"Ato Boldon","TTO",1973-12-30,"1s2","Athínai",1997-08-07,23.7275388,37.9838096,FALSE,23.62
"200m","615",20.09,-1.2,"Obadele Thompson","BAR",1976-03-30,"2","Osaka",1999-05-08,135.5022535,34.6937249,FALSE,23.12
"200m","615",20.09,0,"Coby Miller","USA",1976-10-19,"2","Athens",1999-05-16,23.7275388,37.9838096,FALSE,22.59
"200m","615",20.09,2,"Tyree Washington","USA",1976-08-28,"1","Edwardsville",1999-05-22,-89.953157,38.8114364,FALSE,22.75
"200m","615",20.09,-0.4,"Frank Fredericks","NAM",1967-10-02,"1","Nice",1999-07-17,7.2619532,43.7101728,FALSE,31.81
"200m","615",20.09,1,"Shawn Crawford","USA",1978-01-14,"1","Durham",2000-06-03,-78.898619,35.9940329,FALSE,22.4
"200m","615",20.09,-0.6,"Konstadínos Kedéris","GRE",1973-07-11,"1","Sydney",2000-09-28,151.2092955,-33.8688197,FALSE,27.24
"200m","615",20.09,0.1,"Christian Malcolm","GBR",1979-06-03,"3","Bruxelles",2001-08-24,4.3517103,50.8503396,FALSE,22.24
"200m","615",20.09,1.9,"Tyson Gay","USA",1982-08-09,"1h1","Austin",2004-06-10,-97.7430608,30.267153,FALSE,21.85
"200m","615",20.09,-0.4,"Shawn Crawford","USA",1978-01-14,"1q2","Sacramento",2004-07-17,-121.4943996,38.5815719,FALSE,26.52
"200m","615",20.09,-0.8,"Justin Gatlin","USA",1982-02-10,"2q3","Sacramento",2004-07-17,-121.4943996,38.5815719,FALSE,22.45
"200m","615",20.09,1.4,"Tyson Gay","USA",1982-08-09,"2","Sheffield",2005-08-21,-1.470085,53.381129,FALSE,23.05
"200m","615",20.09,0.4,"Wallace Spearmon","USA",1984-12-24,"1","New York City",2006-06-03,-74.0059728,40.7127753,FALSE,21.45
"200m","615",20.09,0.1,"Usain Bolt","JAM",1986-08-21,"1s2","Beijing",2008-08-19,116.4073963,39.9041999,FALSE,22.01
"200m","615",20.09,1.1,"Nickel Ashmeade","JAM",1990-04-07,"2","Kingston",2012-05-05,-117.9269481,33.7085616,FALSE,22.09
"200m","615",20.09,0,"Wallace Spearmon","USA",1984-12-24,"3","Monaco",2012-07-20,7.4246158,43.7384176,FALSE,27.59
"200m","615",20.09,0.8,"Tsákonas Likoúrgos-Stéfanos","GRE",1990-03-08,"1","Roma",2015-06-04,-95.9036356,36.0766378,FALSE,25.26
"200m","615",20.09,1.7,"Andre De Grasse","CAN",1994-11-10,"1h1","Eugene",2015-06-10,-123.0867536,44.0520691,FALSE,20.59
"200m","615",20.09,1,"Alonso Edward","PAN",1989-12-08,"1s2","Toronto",2015-07-23,-79.3831843,43.653226,FALSE,25.64
"200m","615",20.09,1,"Roberto Skyers","CUB",1991-11-12,"2s2","Toronto",2015-07-23,-79.3831843,43.653226,FALSE,23.71
"200m","615",20.09,1.6,"Noah Lyles","USA",1997-07-18,"4","Eugene",2016-07-09,-123.0867536,44.0520691,FALSE,18.99
"200m","615",20.09,1,"Andre De Grasse","CAN",1994-11-10,"1h10","Rio de Janeiro",2016-08-16,-43.1728965,-22.9068467,FALSE,21.78
"200m","615",20.09,-0.3,"Ramil Guliyev","TUR",1990-05-29,"4s2","Rio de Janeiro",2016-08-17,-43.1728965,-22.9068467,FALSE,26.24
"200m","615",20.09,0.6,"Nethaneel Mitchell-Blake","GBR",1994-04-02,"2","Columbia",2017-05-13,-95.712891,37.09024,FALSE,23.13
"200m","615",20.09,-2.3,"Ameer Webb","USA",1989-12-21,"1","Sacramento",2017-06-25,-121.4943996,38.5815719,FALSE,27.53
"200m","615",20.09,-0.1,"Ramil Guliyev","TUR",1990-05-29,"1","London",2017-08-10,-0.1277583,51.5073509,FALSE,27.22
"200m","615",20.09,-0.9,"Jereem Richards","TTO",1994-01-13,"2","Ostrava",2018-06-13,18.2625243,49.8209226,FALSE,24.43
"200m","615",20.09,-0.9,"Ramil Guliyev","TUR",1990-05-29,"3","Ostrava",2018-06-13,18.2625243,49.8209226,FALSE,28.06
"200m","615",20.09,1.4,"Jaron Flourney","USA",1996-11-24,"1q2","Jacksonville",2019-05-25,-81.655651,30.3321838,FALSE,22.51
"200m","615",20.09,0.7,"Micaiah Harris","USA",1999-05-23,"2h3","Austin",2019-06-05,-97.7430608,30.267153,FALSE,20.05
"200m","615",20.09,0.7,"Andrew Hudson","USA",1996-12-14,"3h3","Austin",2019-06-05,-97.7430608,30.267153,FALSE,22.49
"200m","658",20.1,0.9,"John Carlos","USA",1945-06-05,"3","Ciudad de México",1968-10-16,-99.133208,19.4326077,TRUE,23.38
"200m","658",20.1,1.7,"Millard Hampton","USA",1956-07-08,"1","Eugene",1976-06-22,-123.0867536,44.0520691,FALSE,19.97
"200m","658",20.1,-1.4,"Calvin Smith","USA",1961-01-08,"1r1","Zürich",1987-08-19,8.541694,47.3768866,FALSE,26.63
"200m","658",20.1,-0.4,"Michael Johnson","USA",1967-09-13,"1","Athínai",1990-09-07,23.7275388,37.9838096,FALSE,23
"200m","658",20.1,0,"Michael Marsh","USA",1967-08-04,"1","New York City",1992-05-24,-74.0059728,40.7127753,FALSE,24.82
"200m","658",20.1,0,"Michael Johnson","USA",1967-09-13,"1","Lausanne",1992-07-08,6.6322734,46.5196535,FALSE,24.84
"200m","658",20.1,0.6,"Michael Marsh","USA",1967-08-04,"1s1","Stuttgart",1993-08-19,9.1829321,48.7758459,FALSE,26.06
"200m","658",20.1,-0.2,"Daniel Effiong","NGR",1972-06-17,"1","San José",1994-05-28,-121.8863286,37.3382082,FALSE,21.96
"200m","658",20.1,1.5,"Frank Fredericks","NAM",1967-10-02,"1","Lausanne",1994-07-06,6.6322734,46.5196535,FALSE,26.78
"200m","658",20.1,0.6,"Michael Johnson","USA",1967-09-13,"1","Sankt Peterburg",1994-07-28,30.3350986,59.9342802,FALSE,26.89
"200m","658",20.1,0.9,"Jeff Williams","USA",1965-12-31,"1h4","Atlanta",1996-06-21,-84.3879824,33.7489954,FALSE,30.49
"200m","658",20.1,2,"Tyree Washington","USA",1976-08-28,"1","Villeneuve d'Ascq",1997-06-29,3.1442651,50.6232523,FALSE,20.85
"200m","658",20.1,-1.2,"Michael Johnson","USA",1967-09-13,"1","Roodepoort",1999-03-19,27.9014654,-26.1201355,TRUE,31.53
"200m","658",20.1,1.6,"Maurice Greene","USA",1974-07-23,"1s1","Sevilla",1999-08-25,-5.9844589,37.3890924,FALSE,25.11
"200m","658",20.1,1.7,"Kevin Little","USA",1968-04-03,"3s2","Sevilla",1999-08-25,-5.9844589,37.3890924,FALSE,31.41
"200m","658",20.1,1.7,"Frank Fredericks","NAM",1967-10-02,"4s2","Sevilla",1999-08-25,-5.9844589,37.3890924,FALSE,31.92
"200m","658",20.1,0.4,"Claudinei Quirino da Silva","BRA",1970-11-19,"2","Bruxelles",1999-09-03,4.3517103,50.8503396,FALSE,28.81
"200m","658",20.1,-1.1,"John Capel","USA",1978-11-27,"1s1","Sydney",2000-09-28,151.2092955,-33.8688197,FALSE,21.85
"200m","658",20.1,0.5,"Konstadínos Kedéris","GRE",1973-07-11,"1r1","Athínai",2001-06-11,23.7275388,37.9838096,FALSE,27.94
"200m","658",20.1,-0.6,"Shawn Crawford","USA",1978-01-14,"1","Zagreb",2003-07-07,15.9819189,45.8150108,FALSE,25.49
"200m","658",20.1,-1.7,"Asafa Powell","JAM",1982-11-23,"1","Santo Domingo",2004-05-01,-69.9312117,18.4860575,FALSE,21.45
"200m","658",20.1,0,"Tyson Gay","USA",1982-08-09,"2r4","Bloomington",2005-05-28,-86.5263857,39.165325,FALSE,22.82
"200m","658",20.1,1.3,"Usain Bolt","JAM",1986-08-21,"1","Kingston",2006-05-06,-117.9269481,33.7085616,FALSE,19.72
"200m","658",20.1,0.4,"LaShawn Merritt","USA",1986-06-27,"5","Lausanne",2006-07-11,6.6322734,46.5196535,FALSE,20.05
"200m","658",20.1,-0.1,"Usain Bolt","JAM",1986-08-21,"3","Stuttgart",2006-09-10,9.1829321,48.7758459,FALSE,20.07
"200m","658",20.1,1.6,"Walter Dix","USA",1986-01-31,"1","Tallahassee",2008-05-31,-84.2807329,30.4382559,FALSE,22.35
"200m","658",20.1,0.4,"Ryan Bailey","USA",1989-04-13,"3","Zürich",2010-08-19,8.541694,47.3768866,FALSE,21.36
"200m","658",20.1,-1.1,"Harry Adams","USA",1989-11-27,"1r1","Coral Gables",2012-04-14,-80.2635411,25.7491968,FALSE,22.39
"200m","658",20.1,1.4,"Wallace Spearmon","USA",1984-12-24,"6rA","Lausanne",2012-08-23,6.6322734,46.5196535,FALSE,27.68
"200m","658",20.1,1.6,"Wallace Spearmon","USA",1984-12-24,"3","Des Moines",2013-06-23,-93.6249593,41.5868353,FALSE,28.52
"200m","658",20.1,0.4,"Wallace Spearmon","USA",1984-12-24,"3","Eugene",2015-06-28,-123.0867536,44.0520691,FALSE,30.53
"200m","658",20.1,0.8,"Ramil Guliyev","TUR",1990-05-29,"3s3","Beijing",2015-08-26,116.4073963,39.9041999,FALSE,25.26
"200m","658",20.1,1.9,"Femi Ogunode","QAT",1991-01-31,"3","Ad-Dawhah",2016-05-06,51.5310398,25.2854473,FALSE,25.28
"200m","658",20.1,0.1,"Alonso Edward","PAN",1989-12-08,"1","Monaco",2016-07-15,7.4246158,43.7384176,FALSE,26.62
"200m","658",20.1,-0.2,"Churandy Martina","NED",1984-07-03,"2s3","Rio de Janeiro",2016-08-17,-43.1728965,-22.9068467,FALSE,32.15
"200m","658",20.1,1.7,"Clarence Munyai","RSA",1998-02-20,"2r5","Pretoria",2017-03-04,28.2292712,-25.7478676,TRUE,19.05
"200m","658",20.1,0.8,"Wayde van Niekerk","RSA",1992-07-15,"1","Cape Town",2017-04-29,18.4240553,-33.9248685,FALSE,24.81
"200m","658",20.1,-0.5,"Ramil Guliyev","TUR",1990-05-29,"1rA","Andújar",2017-06-02,-80.871103,35.200081,FALSE,27.03
"200m","658",20.1,-2.3,"Christian Coleman","USA",1996-03-06,"2","Sacramento",2017-06-25,-121.4943996,38.5815719,FALSE,21.32
"200m","658",20.1,1,"Isaac Makwala","BOT",1986-09-29,"1","Gaborone",2018-04-29,25.9231471,-24.6282079,TRUE,31.6
"200m","658",20.1,0.7,"Adam Gemili","GBR",1993-10-06,"5","Berlin",2018-08-09,13.404954,52.5200066,FALSE,24.86
"200m","699",20.11,0,"Pietro Mennea","ITA",1952-06-28,"1","Milano",1977-07-02,-75.163389,39.9629406,FALSE,25.03
"200m","699",20.11,0.1,"Donald Quarrie","JAM",1951-02-25,"2","Guadalajara",1977-08-12,-103.3496092,20.6596988,TRUE,26.48
"200m","699",20.11,0.4,"Kirk Baptiste","USA",1963-06-20,"1","Indianapolis",1985-06-16,-86.158068,39.768403,FALSE,22.01
"200m","699",20.11,0.7,"Attila Kovács","HUN",1960-09-02,"1","Miskolc",1987-08-21,20.7784384,48.1034775,FALSE,26.98
"200m","699",20.11,0,"John Regis","GBR",1966-10-13,"1","Split",1990-08-30,-122.399458,37.789001,FALSE,23.9
"200m","699",20.11,0.2,"Olapade Adeniken","NGR",1969-08-19,"1","Austin",1992-06-06,-97.7430608,30.267153,FALSE,22.81
"200m","699",20.11,0,"Olapade Adeniken","NGR",1969-08-19,"2","Lausanne",1992-07-08,6.6322734,46.5196535,FALSE,22.9
"200m","699",20.11,1.2,"Bryan Bridgewater","USA",1970-09-07,"1","Abilene",1993-05-29,-99.7331439,32.4487364,FALSE,22.74
"200m","699",20.11,0.6,"Frank Fredericks","NAM",1967-10-02,"2s1","Stuttgart",1993-08-19,9.1829321,48.7758459,FALSE,25.9
"200m","699",20.11,1.9,"Linford Christie","GBR",1960-04-02,"1","Villeneuve d'Ascq",1995-06-25,3.1442651,50.6232523,FALSE,35.25
